clave_emision,anio,unidad_sectorial_agregada,modulo,categoria_ipcc,categoria_nombre,producto_std,metodo_asignacion,unidad_origen_psut,psut_side,psut_block_code,source_record_id,actividad_base_tj,actividad_emisiones_tj,grupo_factor,tratamiento_co2,anio_factor,estado_factor,ef_co2_kg_tj,ef_ch4_kg_tj,ef_n2o_kg_tj,gas_fuente,emision_fuente_kt_gas,co2_directo_kt,co2_biogenico_memo_kt,ch4_kt,n2o_kt,co2e_kt,estado_resultado,clave_notacion,metodo_calculo,fuente_id_actividad,fuente_id_factor,nota
EM|2018|BEV2_00076,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,HYDR,GENERACION_CENTRAL,ENER,Use,B,BEV2_00076,23801.3622,23801.3622,CERO_DIRECTO,SIN_EMISION_DIRECTA,2018,CAL,0,0,0,,,0,0,0,0,0,CAL,,CERO_DIRECTO,MEM_BEN,METODO_EMISIONES,
EM|2018|BEV2_00077,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,HYDR,AUTOPRODUCCION,ENER,Use,B,BEV2_00077,98.9443,98.9443,CERO_DIRECTO,SIN_EMISION_DIRECTA,2018,CAL,0,0,0,,,0,0,0,0,0,CAL,,CERO_DIRECTO,MEM_BEN,METODO_EMISIONES,
EM|2018|BEV2_00091,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,LENA,AUTOPRODUCCION,ENER,Use,E,BEV2_00091,2.8469,2.8469,COMB_LENA,BIOGENICO,2018,PRX,112000,30,4,,,0,0.3188528,8.5407E-005,1.13876E-005,0.00540911,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Madera/desechos de madera; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Madera/desechos de madera; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Madera/desechos de madera; gas N2O]."
EM|2018|BEV2_00103,2018,ENER,COMBUSTION,1.A.1.b,Refinación de petróleo,PETR,TRANSFORMACION_REFINERIA,ENER,Use,E,BEV2_00103,5767.2965,2077.9477,LIQUID_FUELS,FOSIL,2018,OBS,74099.9997256909,2.9999985081434,0.600000664116811,,,153.975924,0,0.00623384,0.00124677,154.48086557,CAL,,ACTIVIDAD_X_FE,MEM_BEN,UNFCCC_GTM_CRT_2024,
EM|2018|BEV2_00118,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,SOLAR,GENERACION_CENTRAL,ENER,Use,B,BEV2_00118,736.1851,736.1851,CERO_DIRECTO,SIN_EMISION_DIRECTA,2018,CAL,0,0,0,,,0,0,0,0,0,CAL,,CERO_DIRECTO,MEM_BEN,METODO_EMISIONES,
EM|2018|BEV2_00132,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,COQUE,GENERACION_CENTRAL,ENER,Use,E,BEV2_00132,969.0499,969.0499,COMB_COQUE,FOSIL,2018,PRX,97500,3,0.6,,,94.48236525,0,0.0029071497,0.00058142994,94.7178443757,CAL,,ACTIVIDAD_X_FE,MEM_BEN,IPCC_2006_GL | MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Coque de petróleo; gas CO2]; CH4: IPCC_2006_GL [PRX; Volumen 2, capítulo 2, tabla 2.2, p. 2.16; fila Petroleum Coke; gas CH4]; N2O: IPCC_2006_GL [PRX; Volumen 2, capítulo 2, tabla 2.2, p. 2.16; fila Petroleum Coke; gas N2O]."
EM|2018|BEV2_00133,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,COQUE,AUTOPRODUCCION,ENER,Use,E,BEV2_00133,564.6739,564.6739,COMB_COQUE,FOSIL,2018,PRX,97500,3,0.6,,,55.05570525,0,0.0016940217,0.00033880434,55.1929210077,CAL,,ACTIVIDAD_X_FE,MEM_BEN,IPCC_2006_GL | MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Coque de petróleo; gas CO2]; CH4: IPCC_2006_GL [PRX; Volumen 2, capítulo 2, tabla 2.2, p. 2.16; fila Petroleum Coke; gas CH4]; N2O: IPCC_2006_GL [PRX; Volumen 2, capítulo 2, tabla 2.2, p. 2.16; fila Petroleum Coke; gas N2O]."
EM|2018|BEV2_00134,2018,ENER,COMBUSTION,1.A.1.c,Fabricación de combustibles sólidos y otras industrias de la energía,COQUE,USO_ENER,ENER,Use,E,BEV2_00134,5502.5348,5502.5348,NO,FOSIL,2018,NO,,,,,,,,,,,NO,,SIN_CALCULO_NO,MEM_BEN,UNFCCC_GTM_CRT_2024,
EM|2018|BEV2_00146,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,DOIL,GENERACION_CENTRAL,ENER,Use,E,BEV2_00146,47.7001,47.7001,COMB_DOIL,FOSIL,2018,PRX,74100,3,0.6,,,3.53457741,0,0.0001431003,2.862006E-005,3.5461685343,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gas/Diésel oíl; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Diésel; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Diésel; gas N2O]."
EM|2018|BEV2_00147,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,DOIL,AUTOPRODUCCION,ENER,Use,E,BEV2_00147,12.2591,12.2591,COMB_DOIL,FOSIL,2018,PRX,74100,3,0.6,,,0.90839931,0,3.67773E-005,7.35546E-006,0.9113782713,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gas/Diésel oíl; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Diésel; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Diésel; gas N2O]."
